capacity_slack,elapsed_sec,final_gap_to_instance_best,final_objective,grid_capacity_slack,grid_mode,grid_tw_tightness,instance_tag,iters_to_target,k_vehicles,method,n_requests,outcome,reference_best,remove_count,seed,shots,target_eps,time_to_target_sec,tw_tightness
0.15,15.737881600000037,0.0,304247.7365870113,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,regret_k,100,fixed_budget,304247.7365870113,2,40,16,,,0.15
0.15,16.387088000000062,0.04267353111677758,317231.0618414663,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,standard_alns,100,fixed_budget,304247.7365870113,2,40,16,,,0.15
0.15,29.661280000000033,0.023666298938763257,311448.1544725216,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,qaoa,100,fixed_budget,304247.7365870113,2,40,16,,,0.15
0.15,29.71525079999992,0.054265502059696664,320757.8927634318,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,efficient_su2,100,fixed_budget,304247.7365870113,2,40,16,,,0.15
0.15,21.185822700000017,0.023037958631636723,311256.983356272,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,hybrid_alns,100,fixed_budget,304247.7365870113,2,40,16,,,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,82,10,regret_k,100,time_to_target,,2,40,16,0.01,13.255771500000037,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,inf,10,standard_alns,100,time_to_target,,2,40,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,inf,10,qaoa,100,time_to_target,,2,40,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,inf,10,efficient_su2,100,time_to_target,,2,40,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,inf,10,hybrid_alns,100,time_to_target,,2,40,16,0.01,inf,0.15
0.15,15.865980100000002,0.0,348167.063142069,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,regret_k,100,fixed_budget,348167.063142069,2,50,16,,,0.15
0.15,16.256091099999935,0.12432623891899644,391453.36461799516,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,standard_alns,100,fixed_budget,348167.063142069,2,50,16,,,0.15
0.15,30.276178800000025,0.0730126216298444,373587.653187235,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,qaoa,100,fixed_budget,348167.063142069,2,50,16,,,0.15
0.15,29.78273869999998,0.07617562289975582,374688.9060500947,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,efficient_su2,100,fixed_budget,348167.063142069,2,50,16,,,0.15
